title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
Kevin Durant Phoenix Suns 2024-25 Donruss #54 Dots 32/85,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Phoenix Suns</strong></p><p><strong>Set: Donruss 2024-25 Donruss </strong></p><p><strong>Additional info: Dots </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",12.50,2.17,BASKETBALL,Yes,2024,Donruss,2024-25 Donruss,Dots,Kevin Durant,54,SN,Phoenix Suns,,Near Mint or Better,No,,,,,,0,,,,,,,337,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675612-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675612-back.jpg
Vlade Divac Lakers 2019-20 Panini National Treasures #TTM-VDV 27/99,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Los Angeles Lakers</strong></p><p><strong>Set: National Treasure 2019-20 Panini National Treasures </strong></p><p><strong>Additional info: Timeless Treasures Materials </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",25.00,6.50,BASKETBALL,Yes,2019,National Treasure,2019-20 Panini National Treasures,Timeless Treasures Materials,Vlade Divac,TTM-VDV,"SN,MEM",Los Angeles Lakers,,Near Mint or Better,No,,,,,,0,,,,,,,338,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675613-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675613-back.jpg
Jaylen Brown Boston Celtics 2024-25 Donruss #25 Choice Blue 09/49,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Boston Celtics</strong></p><p><strong>Set: Donruss 2024-25 Donruss </strong></p><p><strong>Additional info: Choice Blue </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",20.00,,BASKETBALL,Yes,2024,Donruss,2024-25 Donruss,Choice Blue,Jaylen Brown,25,SN,Boston Celtics,,Near Mint or Better,No,,,,,,0,,,,,,,339,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675614-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675614-back.jpg
Shai Gilgeous-Alexander Oklahoma City Thunder 2020-21 Panini Recon #35 Holo,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Oklahoma City Thunder</strong></p><p><strong>Set: Panini 2020-21 Panini Recon </strong></p><p><strong>Additional info: Holo </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",8.50,2.58,BASKETBALL,Yes,2020,Panini,2020-21 Panini Recon,Holo,Shai Gilgeous-Alexander,35,,Oklahoma City Thunder,,Near Mint or Better,No,,,,,,0,,,,,,,340,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675615-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675615-back.jpg
Jayson Tatum Boston Celtics 2021-22 Panini Recon #9 Holo,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Boston Celtics</strong></p><p><strong>Set: Panini 2021-22 Panini Recon </strong></p><p><strong>Additional info: Holo </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",8.50,2.00,BASKETBALL,Yes,2021,Panini,2021-22 Panini Recon,Holo,Jayson Tatum,9,,Boston Celtics,,Near Mint or Better,No,,,,,,0,,,,,,,341,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675617-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675617-back.jpg
Jordan Poole Wizards 2024-25 Panini Mosaic #197 Red Seismic Mosaic 124/299,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Washington Wizards</strong></p><p><strong>Set: Panini 2024-25 Panini Mosaic </strong></p><p><strong>Additional info: Red Seismic Mosaic </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",5.00,1.99,BASKETBALL,Yes,2024,Panini,2024-25 Panini Mosaic,Red Seismic Mosaic,Jordan Poole,197,SN,Washington Wizards,,Near Mint or Better,No,,,,,,0,,,,,,,342,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675619-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675619-back.jpg
Derek Harper Mavericks 2022-23 Panini Chronicles #OSA-DHM Old School Autographs,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Dallas Mavericks</strong></p><p><strong>Set: Panini 2022-23 Panini Chronicles </strong></p><p><strong>Additional info: Old School Autographs Auto </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",10.00,4.00,BASKETBALL,Yes,2022,Panini,2022-23 Panini Chronicles,Old School Autographs,Derek Harper,OSA-DHM,AU,Dallas Mavericks,,Near Mint or Better,No,,,,,,0,,,,,,,343,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675620-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675620-back.jpg
Mason Plumlee Los Angeles Clippers 2022-23 Panini Mosaic #MS-PLU Scripts,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Los Angeles Clippers</strong></p><p><strong>Set: Panini 2022-23 Panini Mosaic </strong></p><p><strong>Additional info: Scripts Auto </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",5.00,2.75,BASKETBALL,Yes,2022,Panini,2022-23 Panini Mosaic,Scripts,Mason Plumlee,MS-PLU,AU,Los Angeles Clippers,,Near Mint or Better,No,,,,,,0,,,,,,,344,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675621-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675621-back.jpg
Drew Timme Gonzaga Bulldogs 2022-23 Bowman University Chrome #61 Green Lava #/99,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Gonzaga Bulldogs</strong></p><p><strong>Set: Bowman 2022-23 Bowman University Chrome </strong></p><p><strong>Additional info: Green Lava </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",8.50,5.90,BASKETBALL,Yes,2022,Bowman,2022-23 Bowman University Chrome,Green Lava,Drew Timme,61,SN,Gonzaga Bulldogs,,Near Mint or Better,No,,,,,,0,,,,,,,345,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675623-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675623-back.jpg
Muggsy Bogues Charlotte Hornets 2024-25 Panini Mosaic #MS-MUG Scripts,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Charlotte Hornets</strong></p><p><strong>Set: Panini 2024-25 Panini Mosaic </strong></p><p><strong>Additional info: Scripts Auto </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",20.00,12.00,BASKETBALL,Yes,2024,Panini,2024-25 Panini Mosaic,Scripts,Muggsy Bogues,MS-MUG,AU,Charlotte Hornets,,Near Mint or Better,No,,,,,,0,,,,,,,346,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675624-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675624-back.jpg
